,RGB_2010,RGB_2020,CIR_2010,CIR_2020
SK0698,2011-10-08,2021-05-30,2010-08-16,2021-05-30
SK2462,2010-10-25,2020-05-06,2007-09-26,2020-12-23
SK1669,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SK1375,2018-05-20,2020-05-31,2018-05-20,2020-12-23
SK0598,2011-10-08,2021-05-30,2010-08-16,2021-05-30
SK2463,2010-10-25,2020-05-06,2007-09-26,2020-12-23
SK2069,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SK1862,2010-10-25,2020-05-06,2009-08-08,2020-12-23
SK2563,2010-10-25,2020-05-06,2007-08-23,2020-12-23
SK0498,2011-10-08,2021-05-30,2010-06-16,2021-05-30
SK1569,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SK1187,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK2055,2010-10-20,2021-06-05,2009-08-08,2021-06-05
SK0988,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1388,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1096,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0369,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SK2585,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK1894,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK0886,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK1472,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SK0996,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1896,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK0987,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0896,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0860,2011-09-28,2020-05-06,2010-08-16,2020-12-23
SK1287,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK0971,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SE0905,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SE0805,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK2196,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK0997,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0897,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0076,2010-10-25,2020-05-31,2011-04-08,2020-12-23
SK0894,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SE0804,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SE1100,2012-03-26,2021-05-30,2010-06-16,2021-05-30
SK1188,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1992,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SE0705,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK1086,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK0684,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK0961,2011-09-28,2020-05-06,2010-08-16,2020-12-23
SK0853,2011-09-28,2021-06-09,2010-08-16,2021-06-09
SK0789,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SE0505,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK1075,2011-09-28,2020-05-31,2009-09-10,2020-12-23
SK1260,2011-09-28,2020-05-06,2010-08-16,2020-12-23
SK1097,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0956,2011-09-28,2021-08-02,2010-08-16,2021-08-02
SK1154,2011-09-28,2021-06-09,2010-08-16,2021-06-09
SK0595,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1998,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK1196,2011-10-08,2021-05-30,2010-06-16,2021-05-30
SE1103,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK0895,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SE0704,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK2461,2010-10-25,2020-05-06,2007-09-26,2020-12-23
SK1661,2011-09-28,2020-05-06,2009-08-08,2020-12-23
SE0503,2012-03-26,2021-05-30,2011-05-01,2021-05-30
SK1088,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1387,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK0786,2011-09-28,2021-05-30,2010-06-17,2021-05-30
SK0981,2011-09-28,2021-05-30,2009-09-10,2021-05-30
SK0995,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SE0903,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK0787,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1095,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1091,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SE0407,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK1369,2017-04-08,2020-05-31,2017-04-08,2020-12-23
SE0504,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK2096,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK1288,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK2496,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK1399,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK1797,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SE0904,2012-03-26,2021-05-30,2009-05-30,2021-05-30
SK0993,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK2584,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK0889,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0994,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK0075,2010-10-25,2020-05-31,2011-04-08,2020-12-23
SK2484,2012-05-28,2021-05-30,2009-05-31,2021-05-30
SK0888,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1588,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SJ9679,2010-10-17,2020-05-31,2011-04-08,2020-12-23
SK1092,2011-09-28,2021-05-30,2010-06-16,2021-05-30
SK1087,2011-09-28,2021-05-30,2010-06-17,2021-05-30
